ClusName,age,mM_lit,EBV_lit,N_obsserved,N_complete,N_fit,mM_J22,emMl_J22,emMu_J22,EBV_J22,eEBV_J22
NGC6530,1,10.48,0.35,1972,1907,1501,10.60,0.02,0.09,0.44,0.10
Trumpler14,2,12.3,0.65,1111,1069,741,12.05,0.02,0.17,0.61,0.10
Cha_I,2,6.02,1.00,708,687,170,6.40,0.01,0.01,0.18,0.08
Rho_Oph,3,5.4,0.75,311,301,72,5.70,0.01,0.01,0.76,0.13
NGC2264,4,9.4,0.07,1876,1819,1408,9.29,0.01,0.05,0.05,0.05
NGC2244,4,11.15,0.48,432,427,375,10.90,0.03,0.10,0.49,0.09
lam_Ori,6,7.9,0.12,608,588,344,8.00,0.01,0.03,0.09,0.04
lam_Ori_B35,6,7.9,0.12,227,215,118,8.00,0.01,0.03,0.09,0.02
25_Ori,6,7.63,0.07,294,284,256,7.71,0.01,0.02,0.00,0.02
Assc50,8,9.64,0.23,1224,1192,501,9.91,0.02,0.06,0.28,0.05
Col197,13,9.38,0.2,409,395,334,9.94,0.02,0.06,0.64,0.07
gamma2_Vel,18,7.72,0.04,1262,1242,497,7.73,0.01,0.02,0.04,0.03
IC4665,23,7.69,0.17,567,562,298,7.69,0.01,0.02,0.15,0.02
NGC2232,38,7.56,0.03,1761,1734,697,7.52,0.01,0.02,0.04,0.03
NGC2547,38,7.97,0.06,477,472,269,7.93,0.01,0.03,0.06,0.03
IC2602,44,5.91,0.03,1840,1817,117,5.90,0.01,0.01,0.04,0.02
NGC2451b,50,7.84,0.01,1656,1635,425,7.80,0.01,0.02,0.10,0.03
NGC6649,50,11.0,0.14,122,121,116,11.69,0.03,0.14,1.43,0.05
IC2391,51,5.9,0.01,434,426,78,5.90,0.01,0.01,0.03,0.01
NGC2451a,65,6.44,0.01,1656,1637,352,6.42,0.01,0.01,0.02,0.02
NGC6405,94,8.01,0.14,659,654,373,8.31,0.01,0.03,0.14,0.04
NGC6067,120,10.76,0.38,532,531,512,11.62,0.01,0.14,0.34,0.04
NGC2516,125,8.09,0.11,759,745,641,8.07,0.01,0.03,0.11,0.03
Blanco1,125,6.88,0.01,463,446,314,6.88,0.01,0.02,-0.01,0.03
NGC6709,150,10.16,0.3,684,681,551,10.19,0.01,0.07,0.27,0.02
NGC6259,210,11.61,0.66,438,423,391,11.82,0.01,0.15,0.63,0.09
NGC6705,280,11.37,0.42,1066,1043,977,11.96,0.01,0.16,0.40,0.06
Br30,300,13.49,0.52,226,224,216,13.57,0.09,0.34,0.51,0.04
NGC3532,300,8.46,0.03,966,952,687,8.40,0.01,0.03,0.05,0.02
NGC6281,314,8.86,0.15,251,249,63,8.62,0.01,0.03,0.18,0.02
NGC4815,560,11.99,0.7,126,126,112,12.78,0.08,0.24,0.70,0.07
NGC6633,575,7.99,0.17,1595,363,119,7.99,0.02,0.03,0.15,0.04
